2010,TRUE,2011,2,2,王存同
1989,FALSE,1989,1,0,王东
1999,FALSE,1999,1,0,王飞雪
1988,FALSE,1993,3,0,王奋宇
2005,TRUE,2005,1,1,王丰
2010,FALSE,2014,5,0,王甫勤
2012,FALSE,2012,1,0,王富伟
2011,TRUE,2014,4,3,王广州
2011,TRUE,2011,1,1,王桂新
2010,FALSE,2010,1,0,王海英
1993,TRUE,2012,11,2,王汉生
2008,FALSE,2011,3,0,王建民
2010,FALSE,2010,1,0,王建平
1986,TRUE,1995,10,1,王颉
1992,FALSE,2000,5,0,王金玲
2007,TRUE,2013,3,2,王进
2008,TRUE,2013,2,1,王晶
2013,TRUE,2013,1,1,王军
2002,TRUE,2014,3,1,王俊秀
1986,FALSE,2000,4,0,王来华
1987,FALSE,1987,1,0,王玲
2013,FALSE,2013,1,0,王名
1997,FALSE,2010,7,0,王铭铭
2003,TRUE,2014,4,1,王楠
1999,FALSE,2014,9,0,王宁
2007,TRUE,2010,2,1,王培刚
2013,TRUE,2015,2,2,王鹏
1997,FALSE,1997,2,0,王平
2004,FALSE,2014,2,0,王萍
1987,FALSE,1988,3,0,王琦
2011,FALSE,2011,1,0,王庆明
1992,FALSE,2009,3,0,王日根
2000,FALSE,2015,7,0,王水雄
1991,FALSE,2007,5,0,王思斌
2005,TRUE,2012,6,5,王天夫
1986,TRUE,1994,4,1,王铁
2012,TRUE,2012,1,1,王威海
2006,TRUE,2009,3,2,王卫东
1998,FALSE,2007,2,0,王卫平
2012,TRUE,2012,1,1,王文彬
1987,FALSE,1992,2,0,王小迅
1989,FALSE,2009,6,0,王小章
2007,TRUE,2007,1,1,王晓路
1991,FALSE,2008,3,0,王晓毅
1997,FALSE,1997,1,0,王欣
2008,FALSE,2015,5,0,王星
2005,FALSE,2005,1,0,王旭
1987,FALSE,1999,12,0,王雅林
2004,FALSE,2006,2,0,王燕锋
2008,FALSE,2009,2,0,王一鸽
1993,FALSE,2006,5,0,王毅
2004,FALSE,2009,2,0,王毅杰
